date,Naive Seasonal,Holt-Winters,SARIMA,SARIMAX,SARIMA (pre-COVID),SARIMA (pre-COVID corrected)
2024-12-01,1254853.0,1267766.94649118,1326800.6364444336,1386784.9077012953,1654655.8621961218,1230217.830078484
2025-01-01,950823.0,1088392.1082919794,1078320.5056089438,1113627.8114113817,1430636.8388546847,1006198.8067370468
2025-02-01,1089342.0,1145835.0046438614,1183197.8805188143,1207387.5044724979,1459973.4970369835,1035535.4649193456
2025-03-01,1300956.0,1391672.0449862545,1384114.1456289808,1418241.2572087385,1760682.4100870693,1336244.3779694312
2025-04-01,1239120.0,1456106.9348825165,1360628.8255580715,1402729.7060947637,1867020.9778398727,1442582.945722235
2025-05-01,1503749.0,1725524.9770153565,1526593.3273903022,1599383.4616506677,2086756.8426759122,1662318.8105582744
2025-06-01,1614132.0,1873654.8219416696,1648739.0086665982,1692346.6069402876,2208184.416778997,1783746.3846613592
2025-07-01,2208230.0,2385868.352845892,2186234.0067193937,2252005.9174321312,2686499.9114032798,2262061.879285642
2025-08-01,2274299.0,2424400.450569656,2233155.149555131,2272438.3295072815,2640051.256466084,2215613.2243484464
2025-09-01,1703371.0,2019328.4124509387,1795612.2752092327,1790882.5798291054,2263973.5785318315,1839535.5464141937
2025-10-01,1721466.0,1846606.945194183,1767906.8662308734,1761726.4355897286,2111219.4766322216,1686781.4445145838
2025-11-01,1302125.0,1382118.1539354566,1393568.1003612785,1400167.5392702702,1754333.7063429174,1329895.6742252796
