Variable,r_with_target,VIF_diff,endogenous,collinear,action
hicp_ratio,0.09616263862343614,1.8694489774978347,False,False,KEEP
relprice_wavg,0.24935983164312112,9.142992581255244,False,True,CHECK (VIF>5)
exr_pln,-0.13485242606203363,8.973888308155361,False,True,CHECK (VIF>5)
gdp_pc_origins_wavg,0.44401583109487164,23.971737795940665,False,True,CHECK (VIF>5)
pop_origins_wavg,0.19525698896838792,1.1514640808274361,False,False,KEEP
gdp_pc_DE,0.3424518545797346,22.856275679120404,False,True,CHECK (VIF>5)
cci_DE,0.05659127107432312,1.3757634426895242,False,False,KEEP
seats,0.8770839873447769,2.21346197547398,True,False,DROP (endogenous)
nights_lag1,0.8770859648782929,1.443611492357876,True,False,DROP (endogenous)
nights_lag12,0.6290286296716282,1.5766599556277108,False,False,KEEP
cci_DE_lag2,0.06761200548319189,1.0907775509422222,False,False,KEEP
seats_lag6,0.16710568954022847,1.4781557748887362,False,False,KEEP
covid_strong,-0.5398545405200801,,False,False,KEEP
covid_post,0.2430324168241441,,False,False,KEEP
