date,nights,log_nights,hicp_PL,hicp_origins_wavg,hicp_ratio,exr_pln,relprice_wavg,relprice_DE,gdp_origins_wavg,gdp_DE,pop_origins_wavg,pop_DE,gdp_pc_origins_wavg,gdp_pc_DE,cci_DE,cci_origins_wavg_noUK,seats,log_seats,nights_lag1,nights_lag12,gdp_origins_lag3,cci_DE_lag2,seats_lag6,covid_strong,covid_post,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12,trend,nights_yoy
2011-01-01,506388.0,13.135060427617253,94.7,93.27512249922037,1.0152760721465848,3.8896,0.401591222824325,0.2603954711535712,418814.4425591906,674262.0,55989930.45931983,80222065.0,7519.944068674107,8404.944450133513,0.4,-9.563040090963002,2106882.0,14.560720162056104,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2011-02-01,492935.0,13.108134627153595,94.9,93.72279733675578,1.0125604729766486,3.9264,0.3954445918514519,0.25685146547699783,419180.9056089886,675711.7886272996,55994600.3615916,80155021.49425846,7524.093916438886,8430.06184803657,0.9,-8.91560197515372,1890725.0,14.45247144026207,506388.0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
2011-03-01,729229.0,13.49974446191679,95.7,94.83736865681111,1.0090959012824419,4.0145,0.38891012706314854,0.2517274036843475,419103.23894307663,675906.062948026,56002319.844992265,80114140.92789869,7520.997895895184,8436.78850100046,0.1,-9.816091889052121,2233205.0,14.618948779142299,492935.0,,,0.4,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,
2011-04-01,782572.0,13.570342487779959,96.2,95.48289697868034,1.0075102771701594,3.9694,0.394466292101583,0.2553783015410355,418990.28743772325,676090.1,56014255.74951644,80088206.6985685,7517.161336273346,8441.818438320513,-1.0,-10.600640993612183,2372497.0,14.679453966473242,729229.0,,418814.4425591906,0.9,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,
2011-05-01,988881.0,13.80433029104975,96.7,95.51146776471242,1.0124438694441957,3.9404,0.3988269492243124,0.25886767690915313,419163.29257679766,677110.1579800289,56028715.62791162,80080015.50673296,7518.115579874793,8455.419915885243,-1.4,-10.462045687626468,2667342.0,14.796593403818617,782572.0,,419180.9056089886,0.1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,
2011-06-01,1104766.0,13.915145010971445,96.3,95.43072264499426,1.0091089884988031,3.9702,0.39596107874337527,0.2558618671125199,419486.9984045894,678608.7629375957,56046148.420445345,80086425.08248205,7520.7341060722665,8473.455548036858,-0.5,-9.877333088209287,2863568.0,14.867579306911278,988881.0,,419103.23894307663,-1.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,
2011-07-01,1313938.0,14.088540053813642,96.1,94.9893744908975,1.0116921025646812,3.9951,0.3940368855945747,0.25267296976611475,419682.0370251653,679746.2,56064936.41156234,80104536.77158082,7519.671131683373,8485.73910287136,-0.9,-9.78355669794216,3043575.0,14.928543697854545,1104766.0,,418990.28743772325,-1.4,2106882.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,
2011-08-01,1313410.0,14.088138127913318,96.1,95.20548201264268,1.009395656305154,4.1195,0.38137333432174114,0.2450427919681041,419575.38161667227,680052.3609466478,56085817.08237827,80132961.82951486,7511.315908054797,8486.549672199542,-3.8,-12.51908001947728,3069436.0,14.937004715123663,1313938.0,,419163.29257679766,-0.5,1890725.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,
2011-09-01,1176491.0,13.978047687296431,96.1,95.88457612333733,1.002246699994643,4.3379,0.3607165471859184,0.23246145451640068,419299.6673163151,679833.8376962485,56107664.71099058,80168616.95688301,7499.364975455186,8480.049469506037,-3.0,-13.078115095423446,3030607.0,14.92427381742202,1313410.0,,419486.9984045894,-0.9,2233205.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,
2011-10-01,972541.0,13.787668541202846,96.8,96.16126072222987,1.0066423762851362,4.3516,0.36217445582524965,0.2331728680050789,419085.30278473225,679673.1,56129229.812948406,80207493.46558441,7489.651154799676,8473.93517279823,-5.1,-14.67149877195628,2604650.0,14.772809251065805,1176491.0,,419682.0370251653,-3.8,2372497.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,
2011-11-01,674250.0,13.42135772413028,97.5,96.25548326568406,1.0129293074232544,4.4324,0.3591080287571887,0.23057769574414583,419061.73719639494,679975.5363669319,56151435.010090165,80249586.93241155,7485.169622803709,8473.25902050594,-4.9,-13.26801790282406,2204575.0,14.60604575812351,972541.0,,419575.38161667227,-3.0,2667342.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,
2011-12-01,564863.0,13.244340273189165,98.0,96.5820796443636,1.0146809880348144,4.4774,0.3549982356723671,0.22775965332563725,419081.9081552461,680551.4954420978,56172354.68978906,80289696.51660827,7482.99763075891,8476.199624211094,-4.0,-14.17219984083244,2250003.0,14.626442551956801,674250.0,,419299.6673163151,-5.1,2863568.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,
2012-01-01,590414.0,13.288580958449725,98.6,95.78832955756909,1.0293529541168278,4.376,0.3645544951832668,0.23544401972189904,418919.2257350386,681117.2,56192868.4457329,80327900.0,7477.942920528396,8479.210834591717,-4.3,-15.246818968764902,2246568.0,14.624914721465364,564863.0,506388.0,419085.30278473225,-4.9,3043575.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0.1659320521023404
2012-02-01,552440.0,13.222101919341556,99.0,96.23920949538537,1.0286867537575421,4.1835,0.3794800801505527,0.2452268999046959,418437.9310165537,681419.1525784915,56211859.330651924,80360727.4284914,7466.880642771957,8479.504533913645,-4.8,-14.559985102553895,2082698.0,14.549175206681028,590414.0,492935.0,419061.73719639494,-4.0,3069436.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0.1207157130250438
2012-03-01,820859.0,13.618107850142215,99.5,97.38796266048108,1.0216868418007883,4.137,0.38140284653525336,0.2482068613356822,417930.9706305321,681582.5483994897,56228315.35311385,80386671.87117866,7455.19063088673,8478.800434626031,-4.8,-14.471561322139777,2337399.0,14.664549758481193,552440.0,729229.0,419081.9081552461,-4.3,3030607.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0.1256532584414498
2012-04-01,892225.0,13.701474742699803,100.0,97.92441842518276,1.0211957508474052,4.1782,0.37778462681298075,0.24673970490918246,417672.5057024208,681848.5,56244698.11352519,80409961.70952621,7447.535498887878,8479.652091653976,-4.7,-15.400136376471313,2737973.0,14.822728788802975,820859.0,782572.0,418919.2257350386,-4.8,2604650.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0.14011873667854213
2012-05-01,1101148.0,13.911864738065136,100.2,97.79946459214361,1.0245454861932775,4.2936,0.3703219757137563,0.24108532861518278,417915.5381104377,682333.0888403831,56259550.3609428,80428760.39243871,7448.780024493007,8483.695204439962,-5.4,-16.46310294865056,3200899.0,14.978942578226588,892225.0,988881.0,418437.9310165537,-4.8,2204575.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0.11352933264973242
2012-06-01,1288635.0,14.06909485259273,100.4,97.62628659925242,1.0284115426015683,4.2973,0.37145470365888555,0.2418582538152056,418386.22997935046,682891.2562265961,56274059.38900362,80444989.0938075,7453.663902044001,8488.922230199714,-4.6,-15.968902256052369,3534255.0,15.078013368400612,1101148.0,1104766.0,417930.9706305321,-4.7,2250003.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0.16643252960355404
2012-07-01,1410863.0,14.159712840647398,100.0,97.23640991329063,1.0284213504917938,4.1837,0.37740380763884634,0.24641533452483358,418649.26669751114,683237.7,56287477.84196979,80458240.15703422,7454.437963915993,8491.830030914076,-5.6,-16.26144206306231,3208547.0,14.981329056322608,1288635.0,1313938.0,417672.5057024208,-5.4,2246568.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0.07376679873784009
2012-08-01,1439799.0,14.180014773017339,99.8,97.6413371905363,1.0221080832317084,4.0934,0.3803649568973483,0.25031530197004664,418414.05081731494,683159.9187542954,56300897.427181475,80470064.91469777,7445.671166035546,8489.615603994835,-6.1,-17.67926322852548,2827719.0,14.854981291195806,1410863.0,1313410.0,417915.5381104377,-4.6,2082698.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0.09622966172025493
2012-09-01,1282375.0,14.06422516519281,99.8,98.41209577379848,1.0141029841432463,4.1345,0.37554427699931386,0.247826982001255,417806.1933420101,682498.2831698535,56314063.92462141,80480669.91962321,7430.623016431258,8480.275870609314,-7.1,-18.17257898356568,3078039.0,14.939803588748113,1439799.0,1176491.0,418386.22997935046,-5.6,2337399.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0.08999983850280202
2012-10-01,1072877.0,13.885855315241708,100.1,98.72117644366205,1.0139668468915057,4.1071,0.38014613934338576,0.25023026934326226,417103.14548585407,681190.4,56326755.507400244,80490417.84283204,7415.407545960866,8462.999922923898,-7.2,-17.56603501127484,2383180.0,14.683946707875444,1282375.0,972541.0,418649.26669751114,-6.1,2737973.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0.10316891524367611
2012-11-01,757015.0,13.53713966825963,100.1,98.58067513759791,1.0154119948994205,4.1321,0.3798678702430383,0.24922809006231741,416495.64656568965,679243.2656705905,56340015.42484566,80500626.47423533,7403.808026452028,8437.738877572412,-6.5,-18.245221467355794,1818894.0,14.413739731809974,1072877.0,674250.0,418414.05081731494,-7.1,3200899.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0.12275120504264003
2012-12-01,667949.0,13.411968599417959,100.1,98.93126985507878,1.011813556488593,4.0956,0.3824755484100418,0.24914233807913397,416211.5924620663,677653.6973873344,56353176.90900142,80511276.54884535,7398.558068331362,8416.87930480408,-6.7,-18.8983335839771,2189344.0,14.599112970299329,757015.0,564863.0,417806.1933420101,-7.2,3534255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0.1824973489146926
2013-01-01,641788.0,13.372014868215283,100.2,97.97367274516024,1.0227237296761413,4.1424,0.38225296946193527,0.2480910360400511,416419.3376698528,677424.3,56367314.5359537,80523746.0,7400.7207902999135,8412.727097917179,-5.4,-16.832557176564258,2399838.0,14.690912209734654,667949.0,590414.0,417103.14548585407,-6.5,3208547.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0.0870135193271162
2013-02-01,604500.0,13.312158603295336,100.2,98.37001523831427,1.0186030749029809,4.17,0.3786596663939451,0.24469222992278278,417231.2093633452,679347.1543843135,56382147.304888435,80538228.67186752,7410.965901114506,8435.089343125986,-5.4,-17.316923799904824,2190528.0,14.599653625134989,641788.0,552440.0,416495.64656568965,-6.7,2827719.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0.09423647816957503
2013-03-01,871544.0,13.678022777721042,100.5,99.44821502624252,1.0105762076622484,4.1565,0.3772771785486233,0.24497463781231069,418248.3900355869,682184.0420012599,56396097.97913787,80552974.65911269,7423.97077557582,8468.76288415361,-5.2,-16.791805969663137,2487244.0,14.726686230197298,604500.0,820859.0,416211.5924620663,-5.4,3078039.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0.061746292603236386
2013-04-01,894653.0,13.7041923303322,100.8,99.40891988164059,1.013993514063081,4.1359,0.38132593038840124,0.24843998543964227,419337.15609107073,685321.8,56412058.12312166,80570924.66786101,7437.974221056375,8505.820217716435,-4.8,-15.499638618011359,2775241.0,14.836248508567552,871544.0,892225.0,416419.3376698528,-5.4,2383180.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0.0027212866709629413
2013-05-01,1210056.0,14.00617802390142,100.7,99.51925940151891,1.0118644431799608,4.1799,0.3778855428904131,0.24508123542457236,420083.86481939413,687386.1095099732,56427921.62853544,80589703.79454526,7447.6650814283275,8529.45323216958,-4.7,-16.408657382564247,3058705.0,14.933502508674376,894653.0,1101148.0,417231.2093633452,-5.2,1818894.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0.09890405286119575
2013-06-01,1239846.0,14.030498542871632,100.7,99.56057267514225,1.0114445637890774,4.2839,0.36880714163198886,0.23864586600544146,420585.5630431735,688500.416296937,56444642.63062934,80610332.36885956,7454.381267484249,8541.093877971784,-4.6,-15.390602712993978,3261238.0,14.997617742487563,1210056.0,1288635.0,418248.3900355869,-4.8,2189344.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,-0.03786099244549468
