DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,1990,50887,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,1991,54507,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,1992,59048,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,1993,61599,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,1994,65226,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,1995,64311,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,1996,63859,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,1997,64479,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,1998,65306,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,1999,65877,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2000,65971,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2001,65844,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2002,66334,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2003,67159,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2004,72320,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2005,76875,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2006,78549,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2007,81222,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2008,83137,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2009,84484,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2010,84082,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2011,78115,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2012,78115,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2013,76246,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Andorra,2019,76177,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,1990,3286500,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,1991,3259814,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,1992,3190103,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,1993,3167478,,
