DATAFLOW,LAST UPDATE,freq,currency,estruct,ecase,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2000,41051.73,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2001,41547.98,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2002,42359.02,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2003,43913.64,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2004,44008.93,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2005,45567.52,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2006,46782.92,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2007,47940.45,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2008,48984.17,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2009,50855.76,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2010,51540.31,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2011,52751.34,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2012,53786.12,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2013,55041.07,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2014,55930.69,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2015,57048.28,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2016,61203.06,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2017,62166.29,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2018,63281.87,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2019,64650.25,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2020,66064.73,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2021,67424.41,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2022,72001.22,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2023,76751.81,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Austria,2024,83494.82,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2000,35263.63,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2001,36934.61,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2002,38527.48,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2003,39631.35,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2004,41428.01,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2005,42495.87,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2006,43713.29,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2007,44765.75,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2008,46826.33,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2009,48690.76,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2010,49818.41,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2011,51136.80,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2012,52697.77,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2013,53346.85,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2014,53685.01,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2015,54032.41,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2016,55257.20,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2017,56606.48,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2018,58625.73,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2019,60544.62,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2020,61256.97,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2021,62327.17,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2022,66057.59,,
