DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Andorra,2016,71732,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Andorra,2018,74794,e,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Andorra,2019,76177,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Andorra,2020,77543,e,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Andorra,2022,79535,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Andorra,2023,81588,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Andorra,2024,85101,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Albania,2014,2892394,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Albania,2015,2885796,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Albania,2016,2875592,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Albania,2017,2876591,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Albania,2018,2870324,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Albania,2019,2862427,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Albania,2020,2845955,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Albania,2021,2829741,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Albania,2022,2793592,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Albania,2023,2761785,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Albania,2024,2390942,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Albania,2025,2363314,,
ESTAT:TPS00001(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Armenia,2014,3017079,,
