DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Albania,1995,4344.8,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Albania,1996,4663.6,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Albania,1997,4117.4,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Albania,1998,4459.6,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Albania,1999,5005.9,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Albania,2000,5379.5,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Albania,2001,5856.3,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Albania,2002,6127.4,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Albania,2003,6454.1,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Albania,2004,6794.0,,
ESTAT:NAMA_10_GDP(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,Albania,2005,7142.6,,
