DATAFLOW,LAST UPDATE,freq,statinfo,unit,currency,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2003-01,31.489,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2003-02,31.641,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2003-03,31.751,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2003-04,31.618,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2003-05,31.387,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2003-06,31.412,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2003-07,31.880,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2003-08,32.287,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2003-09,32.355,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2003-10,31.989,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2003-11,31.974,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2003-12,32.329,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2004-01,32.724,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2004-02,32.857,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2004-03,32.985,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2004-04,32.519,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2004-05,31.976,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2004-06,31.614,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2004-07,31.545,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2004-08,31.634,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2004-09,31.601,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2004-10,31.491,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2004-11,31.286,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2004-12,30.636,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2005-01,30.304,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2005-02,29.957,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2005-03,29.771,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2005-04,30.134,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2005-05,30.220,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2005-06,30.034,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2005-07,30.180,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2005-08,29.594,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2005-09,29.317,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2005-10,29.675,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2005-11,29.266,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2005-12,28.972,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2006-01,28.722,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2006-02,28.407,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2006-03,28.650,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2006-04,28.501,,
ESTAT:ERT_BIL_EUR_M(1.0),03/03/26 11:00:00,Monthly,Average,National currency,Czech koruna,2006-05,28.271,,
