waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ
bat (Tajlandia);THB;1;0,1211;0,1231;0,13;0,1271;0,1279;0,1256;0,1289;0,1302;0,1291;0,129;0,1268;0,1271
dolar amerykañski;USD;1;4,0239;4,0156;4,3207;4,2899;4,3987;4,3876;4,6831;4,6578;4,7784;4,8939;4,6226;4,4209
dolar australijski;AUD;1;2,8904;2,8762;3,1858;3,1689;3,1022;3,088;3,2096;3,2467;3,1995;3,114;3,0381;2,9832
dolar Hongkongu;HKD;1;0,5164;0,5149;0,5523;0,5471;0,5604;0,5591;0,5967;0,5937;0,6088;0,6234;0,5903;0,5677
dolar kanadyjski;CAD;1;3,1878;3,1556;3,4119;3,4012;3,4245;3,4254;3,6182;3,6104;3,594;3,5675;3,4339;3,2547
dolar nowozelandzki;NZD;1;2,715;2,6807;2,9672;2,9064;2,8179;2,7936;2,9019;2,9229;2,8437;2,783;2,7913;2,8075
dolar singapurski;SGD;1;2,9793;2,9815;3,1792;3,1441;3,182;3,1725;3,3564;3,3676;3,3837;3,434;3,3273;3,2706
euro;EUR;1;4,5548;4,5539;4,7603;4,6465;4,6503;4,6457;4,7712;4,7216;4,739;4,8088;4,6977;4,6798
forint (Wêgry);HUF;100;1,2689;1,2747;1,2628;1,2403;1,2102;1,1697;1,1826;1,1753;1,1752;1,1501;1,1537;1,1503
frank szwajcarski;CHF;1;4,3818;4,3506;4,6498;4,5475;4,4948;4,529;4,8337;4,8714;4,9137;4,917;4,7704;4,7441
funt szterling;GBP;1;5,4553;5,4355;5,6905;5,5587;5,4724;5,4193;5,6163;5,5882;5,4289;5,5203;5,4054;5,3802
hrywna (Ukraina);UAH;1;0,1436;0,1404;0,1403;0,1467;0,1467;0,1467;0,1403;0,1258;0,1258;0,1258;0,1258;0,1258
jen (Japonia);JPY;100;3,5018;3,4851;3,6478;3,3997;3,4152;3,2804;3,4299;3,4483;3,3477;3,3268;3,2357;3,2802
korona czeska;CZK;1;0,186;0,1863;0,1903;0,1902;0,1881;0,1879;0,1939;0,1922;0,1929;0,196;0,1927;0,1928
korona duñska;DKK;1;0,6121;0,612;0,6398;0,6246;0,625;0,6245;0,6411;0,6347;0,6373;0,6464;0,6315;0,6292
korona islandzka;ISK;100;3,1154;3,2074;3,3202;3,3194;3,3555;3,3595;3,432;3,3715;3,378;3,4034;3,199;3,1079
korona norweska;NOK;1;0,4553;0,4527;0,4887;0,4832;0,4587;0,4511;0,4681;0,4805;0,4677;0,4625;0,4537;0,4478
korona szwedzka;SEK;1;0,4402;0,4316;0,4512;0,4504;0,4431;0,4386;0,451;0,4495;0,4398;0,439;0,4314;0,4259
kuna (Chorwacja);HRK;1;0,6054;0,6044;0,6288;0,6147;0,6171;0,6173;0,6345;0,6285;0,63;0,6387;0,6229;0,6204
lej rumuñski;RON;1;0,921;0,9207;0,9619;0,9398;0,9401;0,9394;0,9658;0,9646;0,966;0,9758;0,9561;0,951
lew (Bu³garia);BGN;1;2,3288;2,3283;2,4339;2,3757;2,3776;2,3753;2,4394;2,4141;2,423;2,4587;2,4019;2,3927
lira turecka;TRY;1;0,2969;0,2938;0,2951;0,2916;0,282;0,2578;0,2683;0,2582;0,261;0,2633;0,2483;0,2369
nowy izraelski szekel;ILS;1;1,2847;1,2483;1,3323;1,3245;1,3021;1,2884;1,3514;1,4145;1,3875;1,3799;1,3241;1,2813
peso chilijskie;CLP;100;0,4895;0,4971;0,5414;0,5265;0,5184;0,5106;0,492;0,5156;0,5196;0,5132;0,5028;0,5061
peso filipiñskie;PHP;1;0,0785;0,0783;0,0829;0,0825;0,084;0,0817;0,0838;0,0835;0,083;0,0833;0,0803;0,0796
peso meksykañskie;MXN;1;0,1964;0,1964;0,2101;0,2138;0,2196;0,2199;0,2283;0,2315;0,2383;0,2447;0,2373;0,2259
rand (Republika Po³udniowej Afryki);ZAR;1;0,2598;0,264;0,2882;0,2862;0,2767;0,2784;0,2781;0,2795;0,2723;0,2699;0,2633;0,256
real (Brazylia);BRL;1;0,7276;0,7723;0,8669;0,9066;0,8873;0,8734;0,8735;0,9043;0,9154;0,9284;0,8778;0,8436
ringgit (Malezja);MYR;1;0,9608;0,9589;1,0291;1,0057;1,004;0,9969;1,0548;1,0432;1,0525;1,0429;1,0018;1,002
rubel rosyjski;RUB;1;0,0527;0,0516;;;;;;;;;;
rupia indonezyjska;IDR;10000;2,8074;2,7978;3,0114;2,9838;3,0157;2,9873;3,1283;3,1414;3,1914;3,1722;2,9485;2,8368
rupia indyjska;INR;100;5,4061;5,3545;5,6675;5,6312;5,6913;5,6214;5,8862;5,8536;5,9594;5,9445;5,6477;5,3602
won po³udniowokoreañski;KRW;100;0,3364;0,3352;0,3538;0,3476;0,347;0,3435;0,358;0,3531;0,343;0,3426;0,3394;0,3416
yuan renminbi (Chiny);CNY;1;0,6332;0,6358;0,6811;0,6674;0,6565;0,6558;0,6955;0,6852;0,6811;0,6807;0,6431;0,6336
SDR (MFW);XDR;1;5,6342;5,629;5,9705;5,8492;5,9096;5,8803;6,1734;6,1256;6,1691;6,2707;6,0071;5,8788
