waluta;kod;liczba jednostek;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ;
bat (Tajlandia);THB;1;0,1309;0,1300;0,1273;0,1238;0,1221;0,1182;0,1161;0,1167;0,1200;0,1171;0,1149;0,1136;
dolar amerykañski;USD;1;4,3571;4,4264;4,3914;4,2333;4,1791;4,1215;4,0273;4,0888;4,2974;4,2758;4,0787;3,9672;
dolar australijski;AUD;1;3,0257;3,0565;2,9314;2,8296;2,7773;2,7675;2,7077;2,6508;2,7631;2,7167;2,6446;2,6575;
dolar Hongkongu;HKD;1;0,5572;0,5641;0,5595;0,5393;0,5333;0,5262;0,5152;0,5225;0,5489;0,5464;0,5224;0,5080;
dolar kanadyjski;CAD;1;3,2445;3,2922;3,2072;3,1369;3,0908;3,0998;3,0453;3,0341;3,1751;3,1223;2,9711;2,9572;
dolar nowozelandzki;NZD;1;2,7864;2,7882;2,7247;2,6299;2,5955;2,5279;2,5027;2,4500;2,5499;2,5231;2,4395;2,4686;
dolar singapurski;SGD;1;3,2865;3,3259;3,2724;3,1791;3,1198;3,0623;3,0151;3,0268;3,1542;3,1237;3,0217;2,9801;
euro;EUR;1;4,6968;4,7427;4,6925;4,6414;4,5411;4,4648;4,4455;4,4599;4,5940;4,5186;4,4033;4,3323;
forint (Wêgry);HUF;100;1,1880;1,2321;1,2180;1,2342;1,2184;1,2039;1,1726;1,1572;1,1894;1,1720;1,1617;1,1349;
frank szwajcarski;CHF;1;4,7170;4,7867;4,7409;4,7102;4,6549;4,5777;4,6007;4,6521;4,7883;4,7307;4,5707;4,5910;
funt szterling;GBP;1;5,3252;5,3512;5,3230;5,2672;5,2128;5,2043;5,1788;5,1924;5,3327;5,2049;5,0549;5,0234;
hrywna (Ukraina);UAH;1;0,1258;0,1258;0,1258;0,1157;0,1132;0,1117;0,1093;0,1108;0,1164;0,1170;0,1128;0,1068;
jen (Japonia);JPY;100;3,3432;3,3355;3,2831;3,1735;3,0507;2,9218;2,8519;2,8255;2,9109;2,8585;2,7200;2,7580;
korona czeska;CZK;1;0,1960;0,1999;0,1980;0,1979;0,1924;0,1884;0,1861;0,1849;0,1886;0,1838;0,1799;0,1770;
korona duñska;DKK;1;0,6314;0,6370;0,6302;0,6229;0,6096;0,5993;0,5967;0,5985;0,6161;0,6057;0,5904;0,5811;
korona islandzka;ISK;100;3,0535;3,0994;3,1297;3,1066;3,0191;2,9889;3,0273;3,0993;3,1831;3,0882;2,9134;2,8790;
korona norweska;NOK;1;0,4392;0,4334;0,4163;0,4029;0,3869;0,3815;0,3912;0,3908;0,4012;0,3892;0,3728;0,3769;
korona szwedzka;SEK;1;0,4196;0,4244;0,4182;0,4092;0,3996;0,3829;0,3817;0,3775;0,3877;0,3882;0,3808;0,3869;
lej rumuñski;RON;1;0,9538;0,9665;0,9528;0,9398;0,9178;0,9001;0,8994;0,9025;0,9254;0,9094;0,8859;0,8716;
lew (Bu³garia);BGN;1;2,4014;2,4249;2,3992;2,3731;2,3218;2,2828;2,2729;2,2803;2,3488;2,3103;2,2513;2,2151;
lira turecka;TRY;1;0,2320;0,2349;0,2312;0,2189;0,2117;0,1754;0,1521;0,1517;0,1592;0,1535;0,1424;0,1364;
nowy izraelski szekel;ILS;1;1,2637;1,2513;1,2111;1,1652;1,1397;1,1320;1,0973;1,0923;1,1257;1,0762;1,0694;1,0831;
peso chilijskie;CLP;100;0,5273;0,5548;0,5429;0,5269;0,5231;0,5156;0,4950;0,4779;0,4861;0,4617;0,4593;0,4537;
peso filipiñskie;PHP;1;0,0793;0,0808;0,0802;0,0766;0,0750;0,0738;0,0733;0,0726;0,0757;0,0753;0,0731;0,0714;
peso meksykañskie;MXN;1;0,2293;0,2378;0,2386;0,2341;0,2356;0,2387;0,2376;0,2405;0,2487;0,2370;0,2344;0,2309;
rand (Republika Po³udniowej Afryki);ZAR;1;0,2551;0,2474;0,2400;0,2330;0,2192;0,2198;0,2206;0,2179;0,2267;0,2244;0,2197;0,2134;
real (Brazylia);BRL;1;0,8371;0,8560;0,8423;0,8432;0,8400;0,8470;0,8371;0,8343;0,8694;0,8445;0,8311;0,8096;
ringgit (Malezja);MYR;1;1,0073;1,0137;0,9824;0,9568;0,9253;0,8905;0,8769;0,8872;0,9183;0,9011;0,8694;0,8522;
rupia indonezyjska;IDR;10000;2,8587;2,9258;2,8720;2,8535;2,8197;2,7588;2,6781;2,6823;2,7980;2,7152;2,6144;2,5604;
rupia indyjska;INR;100;5,3256;5,3603;5,3357;5,1639;5,0761;5,0136;4,8997;4,9370;5,1768;5,1392;4,8964;4,7654;
won po³udniowokoreañski;KRW;100;0,3500;0,3467;0,3361;0,3203;0,3147;0,3179;0,3131;0,3091;0,3223;0,3166;0,3117;0,3042;
yuan renminbi (Chiny);CNY;1;0,6417;0,6473;0,6364;0,6148;0,5981;0,5764;0,5600;0,5639;0,5891;0,5848;0,5638;0,5558;
SDR (MFW);XDR;1;5,8660;5,9195;5,8643;5,7138;5,5955;5,5016;5,4025;5,4474;5,6682;5,6109;5,3985;5,3037;
