Travel Year,Airline Name,Origin Country / Subregion,Destination Country / Subregion,Seats,,
2014,Adria Airways,Albania,Germany,"1,286",,
2014,Adria Airways,Albania,Slovenia,"2,724",,
2014,Adria Airways,Bosnia and Herzegovina,Slovenia,"1,238",,
2014,Adria Airways,Germany,Albania,"1,288",,
2014,Adria Airways,Germany,Poland,"2,106",,
2014,Adria Airways,Germany,Serbia,"5,616",,
2014,Adria Airways,Macedonia,Slovenia,"2,303",,
2014,Adria Airways,Montenegro,Slovenia,"1,034",,
2014,Adria Airways,Poland,Germany,"2,106",,
2014,Adria Airways,Poland,Slovenia,550,,
2014,Adria Airways,Serbia,Germany,"5,586",,
2014,Adria Airways,Serbia,Slovenia,"2,166",,
2014,Adria Airways,Slovenia,Albania,"2,691",,
2014,Adria Airways,Slovenia,Bosnia and Herzegovina,"1,248",,
2014,Adria Airways,Slovenia,Macedonia,"2,386",,
2014,Adria Airways,Slovenia,Montenegro,"1,032",,
2014,Adria Airways,Slovenia,Poland,550,,
2014,Adria Airways,Slovenia,Serbia,"2,213",,
2014,Aegean Airlines,Albania,Greece,"2,964",,
2014,Aegean Airlines,Bulgaria,Greece,"3,858",,
2014,Aegean Airlines,Georgia,Greece,840,,
2014,Aegean Airlines,Greece,Albania,"2,964",,
2014,Aegean Airlines,Greece,Bulgaria,"3,858",,
2014,Aegean Airlines,Greece,Georgia,840,,
2014,Aegean Airlines,Greece,Hungary,"3,360",,
2014,Aegean Airlines,Greece,Poland,"3,528",,
2014,Aegean Airlines,Greece,Romania,"4,500",,
2014,Aegean Airlines,Greece,Serbia,"2,442",,
2014,Aegean Airlines,Hungary,Greece,"3,360",,
2014,Aegean Airlines,Poland,Greece,"3,528",,
2014,Aegean Airlines,Romania,Greece,"4,500",,
2014,Aegean Airlines,Serbia,Greece,"2,442",,
2014,Aer Lingus,Hungary,Ireland,"3,144",,
2014,Aer Lingus,Ireland,Hungary,"3,144",,
2014,Aer Lingus,Ireland,Poland,"3,306",,
2014,Aer Lingus,Poland,Ireland,"3,306",,
2014,Air Armenia,Armenia,France,453,,
2014,Air Armenia,Armenia,Germany,453,,
2014,Air Armenia,Armenia,Greece,226,,
2014,Air Armenia,France,Armenia,453,,
2014,Air Armenia,Germany,Armenia,453,,
2014,Air Armenia,Greece,Armenia,226,,
2014,Air Baltic,Georgia,Latvia,"1,080",,
2014,Air Baltic,Hungary,Latvia,"1,064",,
2014,Air Baltic,Latvia,Georgia,960,,
2014,Air Baltic,Latvia,Hungary,"1,064",,
