Travel Year,Airline Name,Origin Country / Subregion,Destination Country / Subregion,Seats,,
2014,Adria Airways,Germany,Poland,"2,106",,
2014,Adria Airways,Poland,Germany,"2,106",,
2014,Adria Airways,Poland,Slovenia,550,,
2014,Adria Airways,Slovenia,Poland,550,,
2014,Aegean Airlines,Greece,Poland,"3,528",,
2014,Aegean Airlines,Poland,Greece,"3,528",,
2014,Aer Lingus,Ireland,Poland,"3,306",,
2014,Aer Lingus,Poland,Ireland,"3,306",,
2014,Air Baltic,Latvia,Poland,"1,900",,
2014,Air Baltic,Poland,Latvia,"1,976",,
2014,Air France,France,Poland,"15,356",,
2014,Air France,Poland,France,"15,356",,
2014,Austrian,Austria,Poland,"8,740",,
2014,Austrian,Poland,Austria,"8,816",,
2014,British Airways,Poland,United Kingdom,"10,080",,
2014,British Airways,United Kingdom,Poland,"10,080",,
2014,Brussels Airlines,Belgium,Poland,"6,604",,
2014,Brussels Airlines,Poland,Belgium,"6,701",,
2014,Czech Airlines,Czech Republic,Poland,"2,456",,
2014,Czech Airlines,Poland,Czech Republic,"2,456",,
2014,EasyJet,France,Poland,"4,056",,
2014,EasyJet,Germany,Poland,"2,028",,
2014,EasyJet,Poland,France,"4,056",,
2014,EasyJet,Poland,Germany,"2,028",,
2014,EasyJet,Poland,Switzerland,"1,716",,
2014,EasyJet,Poland,United Kingdom,"13,392",,
2014,EasyJet,Switzerland,Poland,"1,716",,
2014,EasyJet,United Kingdom,Poland,"13,392",,
2014,European Cargo,Poland,France,189,,
2014,Finnair,Finland,Poland,"5,248",,
2014,Finnair,Poland,Finland,"5,248",,
2014,Germanwings,Germany,Poland,"11,244",,
2014,Germanwings,Poland,Germany,"11,244",,
2014,ITA Airways,Italy,Poland,"8,138",,
2014,ITA Airways,Poland,Italy,"8,138",,
2014,Jet2,Poland,United Kingdom,"1,332",,
2014,Jet2,United Kingdom,Poland,"1,332",,
2014,KLM,Netherlands,Poland,"11,492",,
2014,KLM,Poland,Netherlands,"11,649",,
2014,LOT Polish Airlines,Austria,Poland,"5,814",,
2014,LOT Polish Airlines,Belgium,Poland,"7,936",,
2014,LOT Polish Airlines,Bulgaria,Poland,"2,946",,
2014,LOT Polish Airlines,Cyprus,Poland,"1,795",,
2014,LOT Polish Airlines,Czech Republic,Poland,"7,437",,
2014,LOT Polish Airlines,Denmark,Poland,"5,141",,
2014,LOT Polish Airlines,Estonia,Poland,"1,608",,
2014,LOT Polish Airlines,France,Poland,"8,850",,
2014,LOT Polish Airlines,Germany,Poland,"21,458",,
2014,LOT Polish Airlines,Hungary,Poland,"6,857",,
2014,LOT Polish Airlines,Italy,Poland,"5,252",,
2014,LOT Polish Airlines,Latvia,Poland,"3,143",,
2014,LOT Polish Airlines,Lithuania,Poland,"5,427",,
2014,LOT Polish Airlines,Netherlands,Poland,"7,040",,
2014,LOT Polish Airlines,Poland,Austria,"5,814",,
2014,LOT Polish Airlines,Poland,Belgium,"7,857",,
2014,LOT Polish Airlines,Poland,Bulgaria,"2,946",,
2014,LOT Polish Airlines,Poland,Cyprus,"1,716",,
2014,LOT Polish Airlines,Poland,Czech Republic,"7,437",,
2014,LOT Polish Airlines,Poland,Denmark,"5,141",,
2014,LOT Polish Airlines,Poland,Estonia,"1,608",,
2014,LOT Polish Airlines,Poland,France,"8,742",,
2014,LOT Polish Airlines,Poland,Germany,"21,233",,
2014,LOT Polish Airlines,Poland,Hungary,"6,857",,
2014,LOT Polish Airlines,Poland,Italy,"5,185",,
2014,LOT Polish Airlines,Poland,Latvia,"3,143",,
2014,LOT Polish Airlines,Poland,Lithuania,"5,360",,
