DATAFLOW,LAST UPDATE,freq,accomunit,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2001,8023230,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2005,8606669,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2006,8716648,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2007,8871155,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2008,9255390,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2009,9369860,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2010,9509433,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2011,9685631,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2012,9731448,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2013,9778310,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2014,9861095,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2015,10006888,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Bedplaces,Number,Hotels and similar accommodation,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2016,10019920,,
