DATAFLOW,LAST UPDATE,freq,worktime,wstatus,sex,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2008-Q1,19.1,b,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2008-Q2,17.0,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2008-Q3,18.1,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2008-Q4,19.4,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2009-Q1,19.5,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2009-Q2,19.2,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2009-Q3,19.5,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2009-Q4,16.6,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2010-Q1,15.6,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2010-Q2,17.8,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2010-Q3,22.4,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2010-Q4,21.1,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2011-Q1,13.9,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2011-Q2,14.9,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2011-Q3,12.3,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2011-Q4,16.4,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2012-Q1,16.0,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2012-Q2,13.6,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2012-Q3,14.4,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2012-Q4,10.9,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2013-Q1,11.6,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2013-Q2,10.3,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2013-Q3,11.9,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2013-Q4,12.3,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2014-Q1,17.0,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2014-Q2,14.9,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2014-Q3,16.6,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2014-Q4,18.0,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2015-Q1,15.2,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2015-Q2,17.2,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2015-Q3,12.4,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2015-Q4,10.5,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2016-Q1,11.6,,
ESTAT:TOUR_LFSQ6R2(1.0),07/01/26 23:00:00,Quarterly,Full-time,Employed persons,Females,Air transport,Thousand persons,Spain,2016-Q2,12.8,,
