DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2014-01,47790928,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2014-02,52885336,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2014-03,60211611,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2014-04,67177066,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2014-05,74346956,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2014-06,84384429,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2014-07,102386534,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2014-08,120214157,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2014-09,84048485,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2014-10,71486017,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2014-11,57144975,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2014-12,55010351,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2015-01,50627829,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2015-02,54876298,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2015-03,62544241,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2015-04,67287850,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2015-05,77747310,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2015-06,85950473,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2015-07,107444562,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2015-08,121902171,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2015-09,85804705,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2015-10,75049523,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2015-11,56911721,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2015-12,58630914,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2016-01,52007707,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2016-02,58981802,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2016-03,69460568,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2016-04,69143542,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2016-05,76595438,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2016-06,87427355,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2016-07,110692481,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2016-08,126117073,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2016-09,88368762,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2016-10,78023396,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2016-11,60485955,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2016-12,60799905,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2017-01,53853383,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2017-02,58882884,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2017-03,67532317,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2017-04,77922119,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2017-05,77764591,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2017-06,92369564,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2017-07,115185072,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2017-08,127336511,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2017-09,91198573,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2017-10,78265576,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2017-11,62939076,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2017-12,64057641,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-01,57459097,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-02,62786974,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-03,71315987,,
ESTAT:TOUR_OCC_NIM(1.0),02/02/26 23:00:00,Monthly,Domestic country,Number,Hotels and similar accommodation,European Union - 28 countries (2013-2020),2018-04,75004645,,
