DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2001-01,6705508,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2001-02,6946360,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2001-03,8643587,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2001-04,9766456,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2001-05,10263107,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2001-06,11197404,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2001-07,12310604,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2001-08,12635072,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2001-09,11944195,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2001-10,10096140,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2001-11,7109225,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2001-12,6532776,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2002-01,6372529,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2002-02,6848387,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2002-03,8862921,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2002-04,8824305,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2002-05,9936846,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2002-06,10796392,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2002-07,11972054,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2002-08,12815202,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2002-09,11613962,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2002-10,10408184,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2002-11,7543369,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2002-12,7026419,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2003-01,6978031,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2003-02,7159130,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2003-03,8673283,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2003-04,9620339,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2003-05,10621753,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2003-06,11492258,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2003-07,12696599,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2003-08,13978050,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2003-09,11987941,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2003-10,11036262,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2003-11,8198717,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2003-12,7610441,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2004-01,7582270,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2004-02,8337045,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2004-03,9522208,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2004-04,10327815,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2004-05,11311370,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2004-06,12139758,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2004-07,13852621,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2004-08,14843579,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2004-09,12955896,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2004-10,12279732,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2004-11,8832336,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2004-12,8505230,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2005-01,8484311,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2005-02,8650171,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2005-03,10787606,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2005-04,10831611,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2005-05,12506411,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2005-06,13229847,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2005-07,15172875,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2005-08,15702447,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2005-09,13998641,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2005-10,12982587,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2005-11,9523849,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2005-12,8996754,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2006-01,8824229,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2006-02,8903718,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2006-03,10795343,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2006-04,12411498,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2006-05,13329493,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2006-06,14327238,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2006-07,16017131,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2006-08,16504613,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2006-09,14151878,,
ESTAT:AVIA_PAOC(1.0),17/02/26 11:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Spain,2006-10,13172690,,
