DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,aircraft,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2011-01,196,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2011-02,184,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2011-03,224,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2011-04,194,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2011-05,222,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2011-06,256,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2011-07,266,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2011-08,278,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2011-09,264,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2011-10,236,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2011-11,215,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2011-12,231,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2012-01,233,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2012-02,202,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2012-03,219,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2012-04,270,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2012-05,301,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2012-06,354,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2012-07,469,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2012-08,414,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2012-09,358,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2012-10,299,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2012-11,229,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2012-12,252,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2013-01,251,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2013-02,219,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2013-03,239,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2013-04,279,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2013-05,281,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2013-06,337,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2013-07,379,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2013-08,371,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2013-09,365,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2013-10,296,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2013-11,221,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2013-12,146,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2014-01,152,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2014-02,124,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2014-03,124,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2014-04,167,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2014-05,215,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2014-06,267,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2014-07,319,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2014-08,304,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2014-09,296,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2014-10,235,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2014-11,257,,
